"lat","lng","weight"
-37.689596,145.105088,0.304508262271746
-37.686742,145.105588,0.304508262271746
-37.683643,145.108743,0.0557790835563198
-37.682591,145.111331,0.0557790835563198
-37.685336,145.117319,0.304508262271746
-37.682753,145.119615,0.0557790835563198
-37.73643,145.04445,0.105297249570604
-37.72242,145.04811,0.560636707173214
-37.741638,145.043435,0.622107533949566
-37.742127,145.048189,0.622107533949566
-37.746456,145.058616,0.474691384550721
-37.744544,145.062009,0.474691384550721
-37.743721,145.063431,0.474691384550721
-37.743181,145.066575,0.474691384550721
-37.744839,145.067475,0.474691384550721
-37.745094,145.070129,0.474691384550721
-37.742912,145.073276,0.474691384550721
-37.743214,145.075997,0.474691384550721
-37.74211,145.078487,0.474691384550721
-37.743278,145.083568,0.474691384550721
-37.744235,145.088598,0.474691384550721
-37.742262,145.090096,0.474691384550721
-37.740204,145.089902,0.474691384550721
-37.739581,145.090789,0.474691384550721
-37.738024,145.091014,0.474691384550721
-37.736714,145.090671,0.474691384550721
-37.733071,145.091141,0.0295970647441697
-37.73242,145.08715,0.0295970647441697
-37.729606,145.09222,0.0295970647441697
-37.728816,145.096155,0.105297249570604
-37.729119,145.101309,0.105297249570604
-37.728368,145.101745,0.105297249570604
-37.725426,145.104122,0.105297249570604
-37.723613,145.104235,0.105297249570604
-37.7211,145.10388,0.105297249570604
-37.71786,145.104444,0.105297249570604
-37.716864,145.101751,0.105297249570604
-37.715024,145.101526,0.304508262271746
-37.71375,145.10174,0.304508262271746
-37.711867,145.102066,0.304508262271746
-37.806212,144.884835,0.413789732096372
-37.785635,144.8757,0.413789732096372
-37.787155,144.879375,0.413789732096372
-37.788376,144.882364,0.413789732096372
-37.789661,144.885443,0.413789732096372
-37.7921,144.88931,0.413789732096372
-37.79495,144.88874,0.413789732096372
-37.796555,144.8885,0.413789732096372
-37.798444,144.888149,0.413789732096372
-37.79883,144.891256,1.28519561908337
-37.79948,144.89302,1.28519561908337
-37.800493,144.895672,1.28519561908337
-37.783385,144.864948,0.413789732096372
-37.786079,144.864418,0.413789732096372
-37.788974,144.863923,1.28519561908337
-37.79137,144.863476,1.28519561908337
-37.793728,144.86298,1.28519561908337
-37.795864,144.862978,1.28519561908337
-37.796221,144.866201,1.28519561908337
-37.796509,144.869371,1.28519561908337
-37.79689,144.87221,1.28519561908337
-37.797085,144.874197,0.413789732096372
-37.797391,144.878114,0.413789732096372
-37.797866,144.880823,0.413789732096372
-37.798234,144.884493,0.413789732096372
-37.798612,144.887705,0.413789732096372
-37.798785,144.893129,1.28519561908337
-37.802782,144.8988,1.28519561908337
-37.80463,144.902092,1.28519561908337
-37.805278,144.904628,1.28519561908337
-37.790153,144.899978,1.28519561908337
-37.790865,144.89484,1.28519561908337
-37.7948,144.895429,1.28519561908337
-37.79687,144.897326,1.28519561908337
-37.799207,144.899141,1.28519561908337
-37.802944,144.891225,1.28519561908337
-37.802678,144.88887,1.28519561908337
-37.805293,144.88474,0.413789732096372
-37.807725,144.88432,0.413789732096372
-37.810624,144.883861,0.413789732096372
-36.720888,144.682762,0.332966978371909
-36.720818,144.682878,0.332966978371909
-36.599102,144.652965,0.0119526607620685
-36.599105,144.653055,0.0119526607620685
-36.495308,144.607892,0.0119526607620685
-36.495348,144.608118,0.0119526607620685
-36.36227,144.698717,0.0506565146582904
-36.124085,144.751928,0.745049187502271
-35.956292,144.368792,0.00398422025402284
-35.95598,144.3688,0.00398422025402284
-36.028933,144.51657,0.745049187502271
-36.271742,144.535782,0.0506565146582904
-36.271677,144.535817,0.0506565146582904
-36.249943,144.94828,0.0506565146582904
-36.249807,144.94808,0.0506565146582904
-36.397072,144.980858,0.240191563885377
-36.445718,144.982585,0.0142293580500816
-36.445953,144.982435,0.0142293580500816
-36.585665,145.014727,0.0341504593201958
-36.585465,145.014892,0.0341504593201958
-36.61687,145.21818,0.00796844050804568
-36.368982,144.231968,0.00569174322003263
-36.36873,144.23198,0.00569174322003263
-36.211573,144.231862,0.0045533945760261
-36.211288,144.231943,0.0045533945760261
-36.616577,145.217092,0.00796844050804568
-36.613045,145.240382,0.00796844050804568
-36.785962,145.15368,0.0552099092343165
-36.786,145.153043,0.0552099092343165
-36.749277,145.568375,0.0893603685545123
-36.544817,145.984002,0.549253220733149
-36.411227,145.922757,0.00569174322003263
-36.411113,145.922898,0.00569174322003263
-36.33107,145.894473,0.00569174322003263
-36.330928,145.89459,0.00569174322003263
-36.355173,146.317205,1.0820003861282
-37.059255,142.773551,0.266373582697527
-37.063637,142.763452,0.266373582697527
-36.906665,142.663948,0.00398422025402284
-36.906787,142.663288,0.00398422025402284
-37.987744,145.314735,0.0700084416064013
-37.995963,145.313035,0.0700084416064013
-38.000694,145.312074,0.0700084416064013
-38.001644,145.311891,0.0700084416064013
-38.0021,145.312194,0.0700084416064013
-38.00591,145.31665,1.46163965890438
-38.00904,145.316043,1.46163965890438
-38.012078,145.314547,1.46163965890438
-38.015092,145.312178,1.46163965890438
-38.014269,145.310524,1.46163965890438
-38.031906,145.309016,0.195226792447119
-38.032461,145.312762,0.195226792447119
-38.033321,145.316419,0.195226792447119
-38.034759,145.319831,0.195226792447119
-38.03752,145.32257,0.195226792447119
-38.039393,145.318883,0.195226792447119
-38.039393,145.313507,0.195226792447119
-38.03869,145.309792,0.195226792447119
-38.038865,145.305425,0.195226792447119
-38.05265,145.30175,1.46163965890438
-38.058925,145.30045,1.46163965890438
-38.00952,145.315796,1.46163965890438
-38.012008,145.314457,1.46163965890438
-38.01457,145.312505,1.46163965890438
